dataset	model_key	family	layer_index	layer_name	triplet_score	slice_count	raw_value_mean	dataset_rank	dataset_rank_int
AGIQA-3K	siglip2_large	SigLIP2	1	pooler_output	0.8450319051959891	2	0.5782656640990477	19.0	19
AGIQA-3K	siglip2_so400m	SigLIP2	1	pooler_output	0.8126709206927984	2	0.5704604502332473	21.0	21
AGIQA-3K	siglip2_so400m_naflex	SigLIP2	1	pooler_output	0.6148587055606198	2	0.5521208130345925	47.0	47
AGIQA-3K	siglip_base	SigLIP	8	hidden_state_008	0.8814949863263446	2	0.5788257866185305	12.0	12
AGIQA-3K	siglip_large	SigLIP	10	hidden_state_010	0.9238833181403829	2	0.592066991364981	7.0	7
AGIQA-3K	siglip_so400m	SigLIP	13	hidden_state_013	0.9845031905195989	2	0.6301258168029313	3.0	3
AGIQA-3K	swin_base	Swin	3	hidden_state_003	0.817228805834093	2	0.568595656574661	20.0	20
AGIQA-3K	swin_large	Swin	3	hidden_state_003	0.6841385597082954	2	0.5554238633381972	39.0	39
AGIQA-3K	swin_small	Swin	3	hidden_state_003	0.7274384685505926	2	0.5570452138190511	31.0	31
AGIQA-3K	swin_tiny	Swin	3	hidden_state_003	0.577939835916135	2	0.5484349473309927	50.0	50
AGIQA-3K	swinv2_base	SwinV2	3	hidden_state_003	0.4380127620783956	2	0.5406939365661809	69.0	69
AGIQA-3K	swinv2_large	SwinV2	3	hidden_state_003	0.8792160437556973	2	0.578631543940353	14.0	14
AGIQA-3K	swinv2_small	SwinV2	3	hidden_state_003	0.7206016408386509	2	0.55603469361052	32.5	32
AGIQA-3K	swinv2_tiny	SwinV2	3	hidden_state_003	0.3992707383773929	2	0.537210244027861	72.0	72
AGIQA-3K	vgg11	VGG	2	feature_map_002	0.42980856882406565	2	0.5403061154544895	70.0	70
AGIQA-3K	vgg11_bn	VGG	2	feature_map_002	0.34138559708295346	2	0.5350226345219603	74.0	74
AGIQA-3K	vgg13	VGG	1	feature_map_001	0.5250683682771193	2	0.544395427761023	61.0	61
AGIQA-3K	vgg13_bn	VGG	2	feature_map_002	0.4580674567000912	2	0.5403625478442076	67.0	67
AGIQA-3K	vgg16	VGG	2	feature_map_002	0.5496809480401094	2	0.5456573070818587	55.0	55
AGIQA-3K	vgg16_bn	VGG	2	feature_map_002	0.5309936189608022	2	0.5445253333832113	58.5	59
