model_key	family	layer_index	layer_name	mean_triplet	min_triplet	max_triplet	dataset_count
dinov3_vith16plus	DINOv3	3	block_003	0.43473707971580955	0.1294439380127621	0.8154056517775752	8
dinov3_vith16plus	DINOv3	4	block_004	0.4212957552368066	0.0779398359161349	0.7830446672743847	8
dinov3_vith16plus	DINOv3	5	block_005	0.47189477301905136	0.04740200546946216	0.7274384685505926	8
dinov3_vith16plus	DINOv3	6	block_006	0.4619980374690189	0.03965360072926161	0.6745670009115771	8
dinov3_vith16plus	DINOv3	7	block_007	0.4862151568509818	0.05469462169553324	0.6937321937321937	8
dinov3_vith16plus	DINOv3	8	block_008	0.5169288316318095	0.0592525068368277	0.7060778727445394	8
dinov3_vith16plus	DINOv3	9	block_009	0.5049381958566097	0.08249772105742936	0.7051048313582498	8
dinov3_vith16plus	DINOv3	10	block_010	0.5047485545054673	0.18778486782133091	0.7411121239744758	8
dinov3_vith16plus	DINOv3	11	block_011	0.5904226735091214	0.35505925250683684	0.7752962625341842	8
dinov3_vith16plus	DINOv3	12	block_012	0.6115784241923713	0.44074749316317224	0.7789425706472197	8
dinov3_vith16plus	DINOv3	13	block_013	0.6268136043565244	0.3764813126709207	0.7962625341841385	8
dinov3_vith16plus	DINOv3	14	block_014	0.6498521879580068	0.3910665451230629	0.8432087511394712	8
dinov3_vith16plus	DINOv3	15	block_015	0.6515398877712764	0.34913400182315407	0.8664539653600729	8
dinov3_vith16plus	DINOv3	16	block_016	0.6721709730673572	0.3108477666362808	0.9051959890610757	8
dinov3_vith16plus	DINOv3	17	block_017	0.6697634747619555	0.27894257064721967	0.9147675478577939	8
dinov3_vith16plus	DINOv3	18	block_018	0.6760943577450718	0.2684594348222425	0.930264357338195	8
dinov3_vith16plus	DINOv3	19	block_019	0.653298709854468	0.20009115770282593	0.9252506836827712	8
dinov3_vith16plus	DINOv3	20	block_020	0.659633867207553	0.21103008204193252	0.9562443026435734	8
dinov3_vith16plus	DINOv3	21	block_021	0.6545833474008801	0.20464904284412033	0.9603463992707384	8
dinov3_vith16plus	DINOv3	22	block_022	0.6541150063065894	0.25478577939835917	0.9717411121239745	8
dinov3_vith16plus	DINOv3	23	block_023	0.6479901046712047	0.21923427529626255	0.9895168641750228	8
dinov3_vith16plus	DINOv3	24	block_024	0.6413665626101056	0.22151321786690975	0.9822242479489517	8
dinov3_vith16plus	DINOv3	25	block_025	0.6405594100633603	0.1982680036463081	0.9767547857793983	8
dinov3_vith16plus	DINOv3	26	block_026	0.6494687120446767	0.19188696444849584	0.9808568824065633	8
dinov3_vith16plus	DINOv3	27	block_027	0.6393131336347684	0.1504102096627165	0.9945305378304466	8
dinov3_vith16plus	DINOv3	28	block_028	0.6020951121984243	0.146763901549681	0.9649042844120328	8
dinov3_vith16plus	DINOv3	29	block_029	0.5815820860829977	0.10483135824977208	0.8623518687329079	8
dinov3_vith16plus	DINOv3	30	block_030	0.4072981674964355	0.046034639927073795	0.8427529626253418	8
dinov3_vith16plus	DINOv3	31	block_031	0.49532995322648926	0.06973564266180493	0.8773928896991796	8
dinov3_vith16plus	DINOv3	32	canonical_embedding	0.4601229958074382	0.06335460346399269	0.772105742935278	8
dinov3_vitl16	DINOv3	0	block_000	0.4082082295581232	0.1162260711030082	0.7256153144940747	8
dinov3_vitl16	DINOv3	1	block_001	0.4062705332076344	0.14266180492251596	0.7684594348222424	8
dinov3_vitl16	DINOv3	2	block_002	0.42995846935568904	0.18550592525068366	0.8204193254329991	8
dinov3_vitl16	DINOv3	3	block_003	0.45115444781199876	0.2602552415679125	0.7657247037374658	8
dinov3_vitl16	DINOv3	4	block_004	0.4962995859379937	0.18368277119416587	0.7885141294439381	8
dinov3_vitl16	DINOv3	5	block_005	0.46254488629526613	0.1358249772105743	0.6918869644484958	8
dinov3_vitl16	DINOv3	6	block_006	0.4908586917094969	0.07930720145852327	0.7005469462169553	8
dinov3_vitl16	DINOv3	7	block_007	0.5548206344506861	0.08751139471285324	0.8126709206927986	8
dinov3_vitl16	DINOv3	8	block_008	0.5297168808829398	0.15633546034639928	0.7939835916134913	8
dinov3_vitl16	DINOv3	9	block_009	0.6188748278348704	0.2702825888787603	0.7835004557885141	8
dinov3_vitl16	DINOv3	10	block_010	0.5921681043699427	0.33044667274384687	0.772105742935278	8
dinov3_vitl16	DINOv3	11	block_011	0.6680996627251565	0.3701002734731085	0.8742023701002735	8
dinov3_vitl16	DINOv3	12	block_012	0.6830855226764525	0.29626253418413856	0.8582497721057429	8
dinov3_vitl16	DINOv3	13	block_013	0.6789727671773402	0.23290793072014587	0.8628076572470373	8
dinov3_vitl16	DINOv3	14	block_014	0.6534637329988287	0.22242479489516864	0.8792160437556973	8
dinov3_vitl16	DINOv3	15	block_015	0.7048671980303703	0.22424794895168643	0.922060164083865	8
dinov3_vitl16	DINOv3	16	block_016	0.6889275854635928	0.16499544211485867	0.9443938012762079	8
dinov3_vitl16	DINOv3	17	block_017	0.6774685135840559	0.16180492251595263	0.9257064721969006	8
dinov3_vitl16	DINOv3	18	block_018	0.6686465656573527	0.12306289881494986	0.9439380127620784	8
dinov3_vitl16	DINOv3	19	block_019	0.6400096395158686	0.097538742023701	0.9284412032816773	8
dinov3_vitl16	DINOv3	20	block_020	0.6215027537763788	0.1207839562443026	0.8947128532360984	8
dinov3_vitl16	DINOv3	21	block_021	0.6295525286523463	0.09252506836827712	0.9193254329990884	8
dinov3_vitl16	DINOv3	22	block_022	0.5837722137384094	0.10847766636280765	0.8933454876937101	8
dinov3_vitl16	DINOv3	23	block_023	0.6045843104867717	0.0952597994530538	0.9626253418413856	8
dinov3_vitl16	DINOv3	24	canonical_embedding	0.566008608472905	0.10346399270738377	0.9179580674567	8
dinov3_vits16	DINOv3	0	block_000	0.4773364247308337	0.10984503190519601	0.8012762078395625	8
dinov3_vits16	DINOv3	1	block_001	0.42181468539338485	0.17274384685505922	0.7611668185961713	8
dinov3_vits16	DINOv3	2	block_002	0.441731626269001	0.08979033728350044	0.8477666362807658	8
dinov3_vits16	DINOv3	3	block_003	0.4657733341644007	0.06335460346399274	0.8618960802187785	8
dinov3_vits16	DINOv3	4	block_004	0.4807782394097344	0.06244302643573385	0.8110756608933455	8
dinov3_vits16	DINOv3	5	block_005	0.5135808907743731	0.16681859617137645	0.7773473108477666	8
dinov3_vits16	DINOv3	6	block_006	0.580547336861907	0.16590701914311762	0.8226982680036463	8
dinov3_vits16	DINOv3	7	block_007	0.6220174636689374	0.13764813126709202	0.8910665451230629	8
dinov3_vits16	DINOv3	8	block_008	0.645767324075589	0.07155879671832271	0.9361896080218779	8
dinov3_vits16	DINOv3	9	block_009	0.6196181894677792	0.05742935278030992	0.9544211485870555	8
dinov3_vits16	DINOv3	10	block_010	0.6153802328027488	0.06289881494986327	0.9731084776663628	8
dinov3_vits16	DINOv3	11	block_011	0.5300052655909538	0.06198723792160438	0.8828623518687329	8
dinov3_vits16	DINOv3	12	canonical_embedding	0.5705683873224134	0.1185050136736554	0.8810391978122152	8
dinov3_vits16plus	DINOv3	0	block_000	0.5217214283797389	0.19143117593436643	0.9051959890610757	8
dinov3_vits16plus	DINOv3	1	block_001	0.5134348317651265	0.18732907930720144	0.9042844120328168	8
dinov3_vits16plus	DINOv3	2	block_002	0.47105807862416793	0.09298085688240654	0.8135824977210574	8
dinov3_vits16plus	DINOv3	3	block_003	0.4235292488103184	0.11075660893345485	0.6157702825888787	8
dinov3_vits16plus	DINOv3	4	block_004	0.4526119538653723	0.24111212397447584	0.626253418413856	8
dinov3_vits16plus	DINOv3	5	block_005	0.5408728782893171	0.16362807657247036	0.7201458523245214	8
dinov3_vits16plus	DINOv3	6	block_006	0.6278984556863622	0.113947128532361	0.8928896991795807	8
dinov3_vits16plus	DINOv3	7	block_007	0.6044404698214331	0.064721969006381	0.9453053783044667	8
dinov3_vits16plus	DINOv3	8	block_008	0.6187107244916421	0.050592525068368255	0.9703737465815861	8
dinov3_vits16plus	DINOv3	9	block_009	0.6102140344771764	0.044211485870556066	0.9826800364630812	8
dinov3_vits16plus	DINOv3	10	block_010	0.5784589824965091	0.0711030082041933	0.9781221513217867	8
dinov3_vits16plus	DINOv3	11	block_011	0.49258028889979666	0.07247037374658155	0.9015496809480401	8
dinov3_vits16plus	DINOv3	12	canonical_embedding	0.5202459591513071	0.09496676163342832	0.8587055606198724	8
fastvit_ma36	FastViT	0	feature_map_000	0.403986342359937	0.12397447584320875	0.9064577397910731	8
fastvit_ma36	FastViT	1	feature_map_001	0.5164918178819728	0.33865086599817684	0.8575498575498575	8
fastvit_ma36	FastViT	2	feature_map_002	0.5983395100684679	0.14402917046490427	0.8769371011850501	8
fastvit_ma36	FastViT	3	feature_map_003	0.45243362065756476	0.12306289881494986	0.8094804010938925	8
fastvit_s12	FastViT	0	feature_map_000	0.47344864176754176	0.2702825888787602	0.8149498632634458	8
fastvit_s12	FastViT	1	feature_map_001	0.42539844702941026	0.2292616226071103	0.7283500455788514	8
fastvit_s12	FastViT	2	feature_map_002	0.33609230388324884	0.03513770180436848	0.8641750227894256	8
fastvit_s12	FastViT	3	feature_map_003	0.4964851152370144	0.06030389363722699	0.8874202370100273	8
fastvit_sa12	FastViT	0	feature_map_000	0.33231532990344903	0.1207839562443026	0.6873290793072014	8
fastvit_sa12	FastViT	1	feature_map_001	0.4497022441416243	0.21011850501367363	0.6951566951566952	8
fastvit_sa12	FastViT	2	feature_map_002	0.5545022750469423	0.06608933454876936	0.8372835004557886	8
fastvit_sa12	FastViT	3	feature_map_003	0.477263922759213	0.07611668185961712	0.8299908842297175	8
fastvit_sa24	FastViT	0	feature_map_000	0.31432023233527334	0.12215132178669097	0.7283500455788514	8
fastvit_sa24	FastViT	1	feature_map_001	0.29754933596850947	0.1216955332725615	0.6007292616226071	8
fastvit_sa24	FastViT	2	feature_map_002	0.6379345681609432	0.30446672743846853	0.9434947768281101	8
fastvit_sa24	FastViT	3	feature_map_003	0.36800750947286953	0.05423883318140382	0.7825888787602553	8
fastvit_sa36	FastViT	0	feature_map_000	0.3501357734683472	0.09890610756608931	0.6657169990503324	8
fastvit_sa36	FastViT	1	feature_map_001	0.2402507572668618	0.08432087511394715	0.45077484047402006	8
fastvit_sa36	FastViT	2	feature_map_002	0.39714561901966944	0.05742935278030997	0.7474931631722881	8
fastvit_sa36	FastViT	3	feature_map_003	0.4014736350367617	0.13992707383773928	0.6886964448495898	8
fastvit_t12	FastViT	0	feature_map_000	0.4151511590359965	0.14175022789425706	0.6777575205104831	8
fastvit_t12	FastViT	1	feature_map_001	0.36645669771049594	0.19143117593436648	0.5225615314494075	8
fastvit_t12	FastViT	2	feature_map_002	0.38251401776925936	0.04415954415954415	0.8099361896080219	8
fastvit_t12	FastViT	3	feature_map_003	0.45392840570977916	0.07217473884140546	0.9029170464904285	8
fastvit_t8	FastViT	0	feature_map_000	0.3595218570719938	0.05195989061075662	0.682771194165907	8
fastvit_t8	FastViT	1	feature_map_001	0.40492491825673227	0.18049225159525978	0.8249772105742935	8
fastvit_t8	FastViT	2	feature_map_002	0.3624812360568969	0.04557885141294438	0.8185961713764813	8
fastvit_t8	FastViT	3	feature_map_003	0.5141326361890021	0.051959890610756565	0.9412032816773017	8
fastvithd_05b	FastViTHD	0	block_000	0.19304726652417326	0.020510483135824986	0.5501367365542389	8
fastvithd_05b	FastViTHD	1	block_001	0.18692204025309464	0.020510483135824986	0.5013673655423883	8
fastvithd_05b	FastViTHD	2	block_002	0.26915913295433197	0.037374658158614404	0.6185050136736554	8
fastvithd_05b	FastViTHD	3	block_003	0.26650074536355306	0.03783044667274382	0.6011850501367366	8
fastvithd_05b	FastViTHD	4	block_004	0.2982834454841443	0.04557885141294443	0.5508072174738841	8
fastvithd_05b	FastViTHD	5	block_005	0.3294688159280988	0.064721969006381	0.6799620132953466	8
fastvithd_05b	FastViTHD	6	block_006	0.3267437698081879	0.07019143117593435	0.6932573599240266	8
fastvithd_05b	FastViTHD	7	block_007	0.3208004477375489	0.06700091157702825	0.7578347578347578	8
fastvithd_05b	FastViTHD	8	block_008	0.3277280652318635	0.06973564266180493	0.7986704653371319	8
fastvithd_05b	FastViTHD	9	block_009	0.2955995739914002	0.05697356426618044	0.7882241215574549	8
fastvithd_05b	FastViTHD	10	block_010	0.27974918213447536	0.05834092980856881	0.7972459639126306	8
fastvithd_05b	FastViTHD	11	block_011	0.2987266273121636	0.06153144940747496	0.8323836657169991	8
fastvithd_05b	FastViTHD	12	block_012	0.30789666586157016	0.07702825888787607	0.809116809116809	8
fastvithd_05b	FastViTHD	13	block_013	0.3333057122463838	0.07201458523245213	0.8941120607787274	8
fastvithd_05b	FastViTHD	14	block_014	0.326050402072128	0.07930720145852321	0.6799620132953466	8
fastvithd_05b	FastViTHD	15	block_015	0.3442302985090132	0.10164083865086598	0.7207977207977208	8
fastvithd_05b	FastViTHD	16	block_016	0.36728857667592096	0.1499544211485871	0.7630579297245964	8
fastvithd_05b	FastViTHD	17	block_017	0.3775416810588491	0.16499544211485873	0.7796771130104463	8
fastvithd_05b	FastViTHD	18	block_018	0.4519578399952906	0.09799453053783042	0.8893637226970561	8
fastvithd_05b	FastViTHD	19	block_019	0.4004947231550088	0.113947128532361	0.7668566001899335	8
fastvithd_05b	FastViTHD	20	block_020	0.39964439406098473	0.12215132178669097	0.7336182336182335	8
fastvithd_05b	FastViTHD	21	block_021	0.48382978787870917	0.21604375569735645	0.8884140550807218	8
fastvithd_05b	FastViTHD	22	block_022	0.5558940423723164	0.240200546946217	0.8755935422602089	8
fastvithd_05b	FastViTHD	23	block_023	0.6265984791034168	0.31586144029170465	0.8926875593542261	8
fastvithd_05b	FastViTHD	24	block_024	0.6403149052799615	0.30948040109389247	0.8955365622032289	8
fastvithd_05b	FastViTHD	25	block_025	0.6290817527903521	0.4129443938012762	0.9050332383665718	8
fastvithd_05b	FastViTHD	26	block_026	0.6381946554576454	0.3236098450319052	0.8703703703703703	8
fastvithd_05b	FastViTHD	27	block_027	0.644806131892124	0.3687329079307201	0.8822412155745489	8
fastvithd_05b	FastViTHD	28	block_028	0.6290541046504279	0.32041932543299906	0.8637192342752963	8
fastvithd_05b	FastViTHD	29	block_029	0.6359388702331576	0.35232452142206017	0.8518687329079307	8
fastvithd_05b	FastViTHD	30	block_030	0.6128832973636984	0.3240656335460346	0.8345487693710119	8
fastvithd_05b	FastViTHD	31	block_031	0.6171846391479482	0.3404740200546946	0.8705560619872379	8
fastvithd_05b	FastViTHD	32	block_032	0.6196988614376946	0.37830446672743845	0.8368277119416591	8
fastvithd_05b	FastViTHD	33	block_033	0.6200888030119267	0.39243391066545125	0.8613485280151947	8
fastvithd_05b	FastViTHD	34	block_034	0.5867261009694921	0.31768459434822244	0.8855970829535096	8
fastvithd_05b	FastViTHD	35	block_035	0.6063554687263286	0.37055606198723795	0.9202370100273474	8
fastvithd_05b	FastViTHD	36	block_036	0.5989858597348722	0.3910665451230629	0.8053783044667275	8
fastvithd_05b	FastViTHD	37	block_037	0.3509620795210282	0.17183226982680033	0.5154968094804011	8
fastvithd_05b	FastViTHD	38	block_038	0.7839336280159738	0.3277119416590702	0.9881494986326345	8
fastvithd_05b	FastViTHD	39	block_039	0.7714056119555968	0.21194165907019147	0.9899726526891522	8
fastvithd_05b	FastViTHD	40	block_040	0.7753074083596722	0.21786690975387418	0.9794895168641751	8
fastvithd_05b	FastViTHD	41	block_041	0.78390754894857	0.20783956244302643	0.9849589790337283	8
fastvithd_05b	FastViTHD	42	block_042	0.7697130696598944	0.18094804010938925	0.9968094804010939	8
fastvithd_05b	FastViTHD	43	block_043	0.699992955405444	0.07702825888787601	0.9981768459434823	8
fastvithd_05b	FastViTHD	44	image_embeddings	0.7092694744624249	0.06244302643573385	1.0	8
fastvithd_05b	FastViTHD	45	canonical_embedding	0.6763399987533989	0.056517775752051025	0.9990884229717412	8
fastvithd_15b	FastViTHD	0	block_000	0.19252498179875877	0.02370100273473108	0.5355515041020966	8
fastvithd_15b	FastViTHD	1	block_001	0.19177923950409514	0.02370100273473108	0.4972652689152233	8
fastvithd_15b	FastViTHD	2	block_002	0.2509651960236889	0.034639927073837784	0.6294439380127621	8
fastvithd_15b	FastViTHD	3	block_003	0.24671154863345685	0.03646308113035551	0.6153144940747493	8
fastvithd_15b	FastViTHD	4	block_004	0.2802986821522221	0.04649042844120327	0.561531449407475	8
fastvithd_15b	FastViTHD	5	block_005	0.3188553929780001	0.061075660893345485	0.6994301994301995	8
fastvithd_15b	FastViTHD	6	block_006	0.3095710826643674	0.06563354603463994	0.6999050332383666	8
fastvithd_15b	FastViTHD	7	block_007	0.2948249391199862	0.05742935278030992	0.7359924026590694	8
fastvithd_15b	FastViTHD	8	block_008	0.2965939872275333	0.055150410209662715	0.7706552706552706	8
fastvithd_15b	FastViTHD	9	block_009	0.27268413552977516	0.04649042844120327	0.7744539411206077	8
fastvithd_15b	FastViTHD	10	block_010	0.2633857035634611	0.05150410209662715	0.7834757834757835	8
fastvithd_15b	FastViTHD	11	block_011	0.27868351136354785	0.053783044667274404	0.811965811965812	8
fastvithd_15b	FastViTHD	12	block_012	0.27668418833718134	0.06700091157702825	0.7768281101614435	8
